"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"1",71917,2,2,15,4,2,15,1,9,1,25717.677124,28299.441641,12,1,1,1,0.21,3,3,0,1,2,2,46,1,2,1
"2",71918,2,2,8,4,2,8,1,2,1,14401.160321,15127.404324,10,1,15,15,5,6,6,0,3,2,1,46,1,3,1
"3",71919,2,2,14,3,1,14,1,8,1,29193.726118,29976.868827,14,1,15,15,5,5,5,0,3,2,2,42,1,5,1
"4",71920,2,2,15,3,1,15,1,8,1,78734.998715,80652.282883,4,1,5,5,0.87,4,4,0,2,2,1,53,1,3,1
"5",71921,2,1,3,3,1,3,1,NA,1,56653.808474,55592.465182,5,1,15,15,4.34,4,4,2,0,2,2,31,1,3,1
"6",71922,2,1,12,2,1,12,1,6,1,26580.533966,27365.257742,4,1,15,15,5,4,4,0,1,2,2,42,2,4,1
"7",71923,2,1,12,3,1,12,1,5,1,82265.200268,86672.919056,4,1,15,15,5,3,3,0,1,2,1,39,1,2,1
"8",71924,2,2,8,5,1,8,1,2,1,38290.064711,39549.441119,13,1,14,14,2.74,6,6,2,2,2,1,31,1,3,1
"9",71925,2,1,7,1,1,7,1,0,1,41836.540184,42333.361701,4,1,3,3,0.46,6,6,0,4,2,2,45,1,2,1
"10",71926,2,1,8,4,2,8,1,2,1,12087.230364,15306.9574,11,1,9,9,1.57,7,7,1,4,2,2,56,1,3,5
"11",71927,2,1,3,2,1,3,1,NA,1,24063.499317,24680.773411,15,1,99,99,NA,5,5,2,0,1,2,60,2,3,2
"12",71928,2,2,9,3,2,9,1,3,1,44519.207117,45785.367055,9,1,15,15,5,3,3,0,1,2,1,38,1,3,1
"13",71929,2,1,11,1,1,11,1,4,2,27368.440757,34021.330101,13,1,7,7,0.75,7,7,1,4,2,1,45,2,1,1
"14",71930,2,2,12,3,1,12,1,6,1,35641.237526,36859.212323,6,1,8,8,1.85,5,5,0,2,2,1,20,1,3,5
"15",71931,2,1,4,1,1,4,1,NA,1,33125.648875,33609.702211,2,1,2,2,0.26,4,4,2,0,2,2,22,2,4,6
"16",71932,2,2,3,4,2,3,1,NA,1,24362.968768,25697.174631,12,1,3,3,0.43,4,4,2,1,2,2,27,1,4,5
"17",71933,2,1,15,1,1,15,1,8,1,26484.560033,26185.87482,3,1,10,10,2.82,4,4,1,2,2,2,31,1,2,3
"18",71934,2,2,10,4,2,10,1,4,1,11460.124356,14455.335624,11,1,9,9,1.57,7,7,1,4,2,2,56,1,3,5
"19",71935,2,2,5,1,1,5,1,NA,1,22805.882206,24318.203874,3,1,6,6,0.87,6,6,2,2,2,1,22,1,4,6
"20",71936,2,1,15,3,2,16,1,8,1,29207.902012,31107.659656,8,1,8,8,2.17,4,4,0,2,1,1,64,1,3,1
"21",71937,2,1,9,4,2,9,1,3,1,21176.669897,22174.369735,12,1,7,7,1.74,4,4,1,2,2,2,30,1,4,5
"22",71938,2,1,5,3,1,5,1,NA,1,56653.808474,55592.465182,5,1,15,15,4.34,4,4,2,0,2,2,31,1,3,1
"23",71939,2,1,15,4,1,15,1,9,1,38132.531854,38173.229826,13,1,7,7,1.3,5,5,0,3,2,1,40,1,4,1
"24",71940,2,2,6,2,2,6,2,0,2,26342.055679,26983.606458,6,1,6,6,1.08,4,4,1,1,2,2,24,2,5,1
"25",71941,2,2,12,1,2,12,1,6,2,15127.371456,15241.763647,10,1,4,4,0.68,5,5,1,2,2,1,32,2,2,1
"26",71942,2,1,13,3,1,13,1,7,1,33055.844715,34871.513763,3,1,15,15,5,4,4,0,2,2,2,40,1,4,1
"27",71943,2,2,15,1,1,15,1,8,2,45337.111554,44969.682117,4,1,4,4,0.43,7,7,0,3,2,1,56,2,1,1
"28",71944,2,1,9,4,2,9,1,2,1,13430.25596,14062.997758,11,1,7,7,1.23,6,6,1,3,2,2,36,1,2,5
"29",71945,2,1,4,1,1,4,1,NA,1,33125.648875,33652.702106,2,1,4,4,0.67,5,5,2,1,2,2,26,1,4,5
"30",71946,2,1,3,3,2,3,1,NA,1,14246.869188,14988.432418,11,1,77,77,NA,4,4,2,0,2,1,40,1,5,1
"31",71947,2,1,12,3,1,12,1,5,1,52684.108015,53977.62039,5,1,15,15,3.7,5,5,0,3,2,1,43,1,2,1
"32",71948,2,2,10,3,1,10,1,3,1,41812.414642,43187.642627,13,1,8,8,2.62,3,3,0,2,2,2,41,1,5,3
"33",71949,2,2,10,3,2,10,1,3,1,41410.836674,42363.735636,8,1,15,15,5,4,4,0,2,2,2,39,1,4,1
"34",71950,2,1,6,3,1,6,1,0,1,79885.944355,82633.336025,2,1,14,14,3.98,3,3,0,2,2,2,30,1,4,5
"35",71951,2,2,8,2,1,8,1,1,2,23664.751155,24173.008639,15,1,2,2,0.26,5,5,0,3,2,2,38,2,4,4
"36",71952,2,2,13,4,1,13,1,7,1,27043.404996,28852.962895,15,1,9,9,1.94,6,6,1,3,2,2,36,1,3,3
"37",71953,2,1,9,4,1,10,1,2,1,25524.286814,27762.645833,14,1,7,7,2.1,3,3,0,1,2,2,27,1,3,1
"38",71954,2,1,6,1,1,6,1,0,1,22616.542112,23190.551894,3,1,10,10,2.82,4,4,1,1,2,2,36,2,4,1
"39",71955,2,2,10,3,1,10,1,4,1,32521.991343,33591.65338,14,1,15,15,4.43,4,4,0,2,2,1,37,1,4,1
"40",71956,2,1,8,3,1,8,1,1,1,71930.820045,73424.67636,4,1,5,5,0.95,4,4,1,2,2,2,30,1,2,3
"41",71957,2,2,5,4,2,5,1,NA,1,24362.968768,26693.098856,12,1,5,5,1.32,2,2,1,0,2,2,25,1,3,5
"42",71958,2,2,6,2,1,6,1,1,2,23664.751155,25109.862018,15,1,14,14,4.45,3,3,0,1,2,2,29,2,4,1
"43",71959,2,1,6,2,2,6,1,0,2,12656.452575,13102.11207,10,1,1,1,0.02,6,6,1,1,2,1,38,2,1,1
"44",71960,2,1,8,3,1,8,1,2,1,37566.351702,39230.908717,14,1,15,15,4.34,4,4,0,2,2,2,37,1,5,1
"45",71961,2,2,14,3,2,14,1,7,1,32401.756638,33364.671991,8,1,10,10,3.21,4,4,0,1,2,1,54,1,4,1
"46",71962,2,2,9,3,1,9,1,3,1,85392.605771,87363.511478,4,1,8,8,1.61,6,6,0,2,1,1,35,1,4,1
"47",71963,2,2,4,4,2,5,1,NA,1,15960.491734,17486.989689,10,1,14,14,3.47,4,4,1,0,2,2,26,1,4,5
"48",71964,2,1,9,4,2,9,1,3,1,13873.106684,14630.658746,10,1,8,8,1.29,7,7,0,3,2,2,40,1,3,1
"49",71965,2,2,11,4,2,11,1,4,1,9047.514577,9462.834617,7,1,15,15,5,3,3,0,1,2,2,41,1,5,1
"50",71966,2,2,14,3,1,14,1,7,1,48051.141725,47803.986352,5,1,6,6,1.21,4,4,0,3,2,2,30,1,4,5
"51",71967,2,1,10,3,1,10,1,3,1,61757.449873,62042.005771,5,1,15,15,4.63,5,5,0,3,2,2,46,1,5,1
"52",71968,2,2,5,4,1,5,1,NA,1,29364.739851,31194.488008,14,1,12,12,NA,4,4,1,1,2,2,56,1,3,3
"53",71969,2,2,13,3,1,13,1,7,1,78734.998715,80549.229057,4,1,7,7,2.2,3,3,0,1,2,1,31,1,2,1
"54",71970,2,1,7,3,1,8,1,2,1,47620.447942,49730.499812,13,1,4,4,0.65,4,4,0,3,2,2,34,1,4,3
"55",71971,2,1,5,4,2,5,1,NA,1,17902.448816,24128.129247,10,1,10,10,2.36,6,6,2,3,2,2,30,2,5,3
"56",71972,2,2,4,3,2,4,1,NA,1,50270.45673,49585.204475,9,1,14,14,3.52,5,5,1,2,2,1,36,1,5,1
"57",71973,2,1,12,3,1,12,1,6,1,52684.108015,53977.62039,5,1,15,15,5,4,4,0,2,2,1,43,1,5,1
"58",71974,2,2,9,4,2,9,1,2,1,20077.988353,20940.670859,12,1,1,1,0.04,5,5,0,3,1,1,60,1,2,1
"59",71975,2,2,4,3,2,4,1,NA,1,32204.277256,32786.055529,12,1,5,5,0.74,5,5,2,1,2,2,51,1,9,4
"60",71976,2,2,5,1,1,5,1,NA,2,18500.765574,19763.664661,1,1,13,13,NA,7,7,1,2,2,1,57,2,2,1
